01010100000000000000000000001101	256	BREAK
01011011111111111111111111111111	260	1543503871
01011111111111111111111111111111	264	1610612735
01100011111111111111111111111111	268	1677721599
01100111111111111111111111111111	272	1744830463
01101011111111111111111111111111	276	1811939327
01101111111111111111111111111111	280	1879048191
11000011111111111111111111111111	284	-1006632961
11000111111111111111111111111111	288	-939524097
11001011111111111111111111111111	292	-872415233
11001111111111111111111111111111	296	-805306369
11010011111111111111111111111111	300	-738197505
11010111111111111111111111111111	304	-671088641
11011011111111111111111111111111	308	-603979777
11011111111111111111111111111111	312	-536870913
11100011111111111111111111111111	316	-469762049
11100111111111111111111111111111	320	-402653185
11101011111111111111111111111111	324	-335544321
11101111111111111111111111111111	328	-268435457
01010100000000000000000000001101	332	1409286157
11111111111111111111111111111111	336	-1
01111111111111111111111111111111	340	2147483647
10000000000000000000000000000001	344	-2147483647
