01011110000000010000000111001100	256	LW R1, 460(R16)
01011110000000000000000111011000	260	LW R0, 472(R16)
01011110000010010000000111011000	264	LW R9, 472(R16)
01011110000000110000000111011000	268	LW R3, 472(R16)
01011110000010000000000111010000	272	LW R8, 464(R16)
11001000000000011111100000000000	276	MUL R31, R0, R1
11001000001010011111100000000000	280	MUL R31, R1, R9
11001000011010001111100000000000	284	MUL R31, R3, R8
11001100000000011111100000000000	288	AND R31, R0, R1
11001100001010011111100000000000	292	AND R31, R1, R9
11001100011010001111100000000000	296	AND R31, R3, R8
11010000000000011111100000000000	300	OR R31, R0, R1
11010000001010011111100000000000	304	OR R31, R1, R9
11010000011010001111100000000000	308	OR R31, R3, R8
11010100000000011111100000000000	312	XOR R31, R0, R1
11010100001010011111100000000000	316	XOR R31, R1, R9
11010100011010001111100000000000	320	XOR R31, R3, R8
11011000000000011111100000000000	324	NOR R31, R0, R1
11011000001010011111100000000000	328	NOR R31, R1, R9
11011000011010001111100000000000	332	NOR R31, R3, R8
11011100000000011111100000000000	336	SLT R31, R0, R1
11011100001010011111100000000000	340	SLT R31, R1, R9
11011100011000111111100000000000	344	SLT R31, R3, R3
11100000000111111000000000000001	348	ADDI R31, R0, #-32767
11100000001111110000000000000010	352	ADDI R31, R1, #2
11100001000111110000000000000100	356	ADDI R31, R8, #4
11100100000111111000000000000001	360	ANDI R31, R0, #32769
11100100001111110000000000000010	364	ANDI R31, R1, #2
11100101000111110000000000000100	368	ANDI R31, R8, #4
11101000000111111000000000000001	372	ORI R31, R0, #32769
11101000001111110000000000000010	376	ORI R31, R1, #2
11101001000111110000000000000100	380	ORI R31, R8, #4
11101100000111111000000000000001	384	XORI R31, R0, #32769
11101100001111110000000000000010	388	XORI R31, R1, #2
11101101000111110000000000000100	392	XORI R31, R8, #4
01101100000000000000000000000000	396	NOP
01100100000000011111100010000000	400	SRL R31, R1, #2
01100100000000101111100011000000	404	SRL R31, R2, #3
01100100000000111111100100000000	408	SRL R31, R3, #4
01101000000000011111100010000000	412	SRA R31, R1, #2
01101000000000101111100011000000	416	SRA R31, R2, #3
01101000000000111111100100000000	420	SRA R31, R3, #4
11100011101111000000000100000000	424	ADDI R28, R29, #256
01001011100111100000000000000011	428	BEQ R28, R30, #12
11100011101111100000000100000001	432	ADDI R30, R29, #257
11100011110111101111111111111111	436	ADDI R30, R30, #-1
01000111100000000000000000001000	440	JR R28
01101100000000000000000000000000	444	NOP
01010100000000000000000000001101	448	BREAK
11111111111111111111111111111111	452	-1
11111111111111111111111111111110	456	-2
11111111111111111111111111111101	460	-3
00000000000000000000000000000001	464	1
00000000000000000000000000000010	468	2
00000000000000000000000000000100	472	4
11111111111111111111111111111100	476	-4
00000000000000000000000000001010	480	10
00000000000000000000000000000111	484	7
00000000000000000000000000001001	488	9
00000000000000000000000000000001	492	1
00000000000000000000000000000000	496	0
11111111111111111111111111111111	500	-1
00000000000000000000000000000001	504	1
11111111111111111111111111111111	508	-1
00000000000000000000000000000000	512	0
00000000000000000000000000000000	516	0
00000000000000000000000000000000	520	0
00000000000000000000000000000000	524	0
00000000000000000000000000000000	528	0
00000000000000000000000000000000	532	0
00000000000000000000000000000000	536	0
00000000000000000000000000000000	540	0
00000000000000000000001000000000	544	512
