11000000000000000000100000000000	256	ADD R1, R0, R0
11100000000000100000000000000010	260	ADDI R2, R0, #2
01001000001000100000000000001000	264	BEQ R1, R2, #32
01101100000000000000000000000000	268	NOP
01100000000000011000000010000000	272	SLL R16, R1, #2
01011110000000110000000100110000	276	LW R3, 304(R16)
01011110000001000000000101000100	280	LW R4, 324(R16)
11000000011001000010100000000000	284	ADD R5, R3, R4
01011010000001010000000101011000	288	SW R5, 344(R16)
11100000001000010000000000000001	292	ADDI R1, R1, #1
01000000000000000000000001000010	296	J #264
01010100000000000000000000001101	300	BREAK
11111111111111111111111111111111	304	-1
11111111111111111111111111111110	308	-2
11111111111111111111111111111101	312	-3
00000000000000000000000000000001	316	1
00000000000000000000000000000010	320	2
00000000000000000000000000000100	324	4
11111111111111111111111111111100	328	-4
00000000000000000000000000001010	332	10
00000000000000000000000000000111	336	7
00000000000000000000000000001001	340	9
00000000000000000000000000000001	344	1
00000000000000000000000000000000	348	0
11111111111111111111111111111111	352	-1
00000000000000000000000000000001	356	1
11111111111111111111111111111111	360	-1
00000000000000000000000000000000	364	0
